timestamp,open,high,low,close,volume
2026-07-01 12:00:00+00:00,1569.88,1572.49,1565.26,1570.24,7560.239
2026-07-01 13:00:00+00:00,1570.24,1598.0,1570.0,1597.22,20616.9671
2026-07-01 14:00:00+00:00,1597.22,1617.04,1591.2,1601.18,38319.4006
2026-07-01 15:00:00+00:00,1601.19,1631.0,1600.98,1620.09,28006.7756
2026-07-01 16:00:00+00:00,1620.1,1629.26,1612.77,1614.54,13891.3461
2026-07-01 17:00:00+00:00,1614.54,1624.79,1607.17,1622.72,10580.0853
2026-07-01 18:00:00+00:00,1622.72,1624.5,1612.01,1616.59,7761.2219
2026-07-01 19:00:00+00:00,1616.59,1624.0,1614.42,1618.09,8988.5581
2026-07-01 20:00:00+00:00,1618.07,1620.46,1610.38,1617.68,8568.5384
2026-07-01 21:00:00+00:00,1617.67,1638.63,1617.55,1632.12,18296.0103
2026-07-01 22:00:00+00:00,1632.11,1646.26,1620.58,1621.63,17822.8349
2026-07-01 23:00:00+00:00,1621.62,1621.63,1608.35,1609.58,10292.3927
2026-07-02 00:00:00+00:00,1609.59,1609.8,1597.22,1603.42,10412.1329
2026-07-02 01:00:00+00:00,1603.42,1625.0,1602.63,1620.48,8577.1529
2026-07-02 02:00:00+00:00,1620.47,1624.45,1614.64,1620.68,6676.4185
2026-07-02 03:00:00+00:00,1620.69,1642.32,1618.12,1639.47,19491.7734
2026-07-02 04:00:00+00:00,1639.46,1639.94,1630.44,1632.71,10670.8888
2026-07-02 05:00:00+00:00,1632.71,1634.84,1625.21,1626.5,6765.4143
2026-07-02 06:00:00+00:00,1626.51,1629.88,1617.51,1619.14,8049.3462
2026-07-02 07:00:00+00:00,1619.14,1619.88,1614.32,1615.97,14349.358
2026-07-02 08:00:00+00:00,1615.97,1626.35,1615.08,1624.92,8243.2229
2026-07-02 09:00:00+00:00,1624.91,1651.95,1620.34,1643.33,27834.7307
2026-07-02 10:00:00+00:00,1643.32,1649.62,1641.48,1646.12,12264.0883
2026-07-02 11:00:00+00:00,1646.12,1657.53,1644.53,1650.32,22336.0921
2026-07-02 12:00:00+00:00,1650.31,1669.72,1647.66,1662.82,25143.5073
2026-07-02 13:00:00+00:00,1662.81,1713.77,1660.73,1710.72,70316.272
2026-07-02 14:00:00+00:00,1710.73,1725.0,1692.96,1701.55,46156.9842
2026-07-02 15:00:00+00:00,1701.55,1703.5,1688.72,1697.05,15806.44
2026-07-02 16:00:00+00:00,1697.06,1704.0,1686.49,1699.67,15511.6102
2026-07-02 17:00:00+00:00,1699.66,1705.94,1694.51,1695.89,10016.6606
2026-07-02 18:00:00+00:00,1695.88,1707.14,1695.45,1702.06,6185.1802
2026-07-02 19:00:00+00:00,1702.05,1705.53,1694.75,1700.15,6640.0703
2026-07-02 20:00:00+00:00,1700.15,1706.68,1696.08,1705.75,6054.8546
2026-07-02 21:00:00+00:00,1705.75,1705.89,1697.36,1700.23,6841.1257
2026-07-02 22:00:00+00:00,1700.23,1700.98,1694.2,1696.88,4106.7179
2026-07-02 23:00:00+00:00,1696.88,1701.8,1692.13,1700.57,5003.4662
2026-07-03 00:00:00+00:00,1700.57,1702.98,1694.72,1696.75,6275.857
2026-07-03 01:00:00+00:00,1696.75,1718.97,1695.34,1712.33,14375.0928
2026-07-03 02:00:00+00:00,1712.33,1715.33,1696.23,1704.76,8846.1544
2026-07-03 03:00:00+00:00,1704.75,1712.11,1699.53,1706.43,4972.0058
2026-07-03 04:00:00+00:00,1706.43,1708.5,1702.34,1703.08,5425.9664
2026-07-03 05:00:00+00:00,1703.07,1721.8,1702.28,1714.92,8051.4626
2026-07-03 06:00:00+00:00,1714.93,1721.53,1712.94,1716.03,5814.7847
2026-07-03 07:00:00+00:00,1716.03,1722.21,1713.97,1717.77,11185.8006
2026-07-03 08:00:00+00:00,1717.77,1735.13,1715.68,1719.89,16499.8712
2026-07-03 09:00:00+00:00,1719.89,1731.25,1717.03,1726.28,8910.3848
2026-07-03 10:00:00+00:00,1726.27,1749.0,1726.26,1742.16,17896.7277
2026-07-03 11:00:00+00:00,1742.17,1748.0,1737.47,1742.54,11215.5541
2026-07-03 12:00:00+00:00,1742.54,1745.03,1731.55,1736.44,8572.5906
2026-07-03 13:00:00+00:00,1736.44,1753.29,1736.09,1748.15,18552.7621
2026-07-03 14:00:00+00:00,1748.14,1748.15,1728.99,1737.14,16334.1686
2026-07-03 15:00:00+00:00,1737.15,1745.9,1729.75,1731.24,9633.8875
2026-07-03 16:00:00+00:00,1731.24,1735.5,1727.87,1733.63,4503.3655
2026-07-03 17:00:00+00:00,1733.62,1741.86,1732.33,1738.18,5441.9173
2026-07-03 18:00:00+00:00,1738.19,1741.13,1736.19,1738.77,4412.3928
2026-07-03 19:00:00+00:00,1738.78,1753.0,1737.34,1745.38,12018.8234
2026-07-03 20:00:00+00:00,1745.39,1774.0,1743.61,1766.15,23241.5026
2026-07-03 21:00:00+00:00,1766.15,1775.78,1756.75,1763.46,12003.7722
2026-07-03 22:00:00+00:00,1763.46,1764.06,1756.0,1757.52,6188.9657
2026-07-03 23:00:00+00:00,1757.53,1762.03,1755.45,1758.21,4043.0576
2026-07-04 00:00:00+00:00,1758.22,1764.0,1756.5,1758.7,3683.7169
2026-07-04 01:00:00+00:00,1758.7,1758.7,1746.0,1747.93,7014.5287
2026-07-04 02:00:00+00:00,1747.93,1751.04,1744.09,1749.31,3003.3672
2026-07-04 03:00:00+00:00,1749.31,1756.74,1747.26,1753.92,4996.5654
2026-07-04 04:00:00+00:00,1753.91,1764.61,1752.0,1761.67,5721.9484
2026-07-04 05:00:00+00:00,1761.68,1761.68,1753.27,1755.99,5276.3624
2026-07-04 06:00:00+00:00,1755.98,1761.27,1751.72,1754.77,10308.1591
2026-07-04 07:00:00+00:00,1754.78,1759.67,1752.86,1758.19,6166.4406
2026-07-04 08:00:00+00:00,1758.18,1765.55,1757.39,1762.31,4156.4202
2026-07-04 09:00:00+00:00,1762.3,1763.05,1755.0,1758.13,4166.5661
2026-07-04 10:00:00+00:00,1758.12,1760.88,1757.12,1759.14,5248.4058
2026-07-04 11:00:00+00:00,1759.14,1760.15,1756.19,1758.24,3639.5401
2026-07-04 12:00:00+00:00,1758.23,1766.45,1758.23,1764.22,5574.7721
2026-07-04 13:00:00+00:00,1764.22,1778.63,1761.62,1764.06,12097.1614
2026-07-04 14:00:00+00:00,1764.05,1775.0,1763.92,1772.23,7318.7116
2026-07-04 15:00:00+00:00,1772.23,1799.92,1772.22,1791.09,27008.3286
2026-07-04 16:00:00+00:00,1791.08,1792.0,1783.32,1786.81,9177.8041
2026-07-04 17:00:00+00:00,1786.81,1807.65,1779.0,1799.36,29134.5021
2026-07-04 18:00:00+00:00,1799.36,1805.84,1791.58,1793.63,11047.1945
2026-07-04 19:00:00+00:00,1793.62,1797.66,1788.47,1792.83,5951.6743
2026-07-04 20:00:00+00:00,1792.83,1795.81,1783.84,1787.15,5589.824
2026-07-04 21:00:00+00:00,1787.15,1794.25,1786.24,1789.25,2648.906
2026-07-04 22:00:00+00:00,1789.25,1789.45,1782.19,1784.73,2861.6926
2026-07-04 23:00:00+00:00,1784.73,1785.59,1772.1,1780.64,9087.5575
2026-07-05 00:00:00+00:00,1780.64,1780.75,1769.64,1772.71,6958.1122
2026-07-05 01:00:00+00:00,1772.7,1774.66,1760.72,1766.62,10008.1144
2026-07-05 02:00:00+00:00,1766.61,1767.79,1757.0,1760.88,13241.5343
2026-07-05 03:00:00+00:00,1760.87,1764.0,1757.76,1761.59,6232.6391
2026-07-05 04:00:00+00:00,1761.58,1772.69,1760.07,1767.54,13059.2661
2026-07-05 05:00:00+00:00,1767.53,1767.87,1760.5,1765.98,16392.0146
2026-07-05 06:00:00+00:00,1765.98,1768.0,1762.01,1764.69,33430.8825
2026-07-05 07:00:00+00:00,1764.69,1772.35,1761.76,1770.1,34375.0591
2026-07-05 08:00:00+00:00,1770.09,1773.27,1766.46,1767.71,37769.8138
2026-07-05 09:00:00+00:00,1767.72,1767.83,1748.79,1757.98,128409.6927
2026-07-05 10:00:00+00:00,1757.99,1761.96,1755.03,1761.39,5053.513
2026-07-05 11:00:00+00:00,1761.39,1765.0,1758.7,1760.08,4765.4416
2026-07-05 12:00:00+00:00,1760.08,1769.44,1756.03,1765.12,4749.4524
2026-07-05 13:00:00+00:00,1765.12,1767.55,1761.51,1766.26,2946.7199
2026-07-05 14:00:00+00:00,1766.25,1772.77,1764.96,1772.56,3839.5301
2026-07-05 15:00:00+00:00,1772.56,1781.28,1770.11,1774.67,8462.2846
2026-07-05 16:00:00+00:00,1774.66,1777.5,1770.31,1773.0,4477.9769
2026-07-05 17:00:00+00:00,1773.0,1785.75,1772.99,1779.48,6807.844
2026-07-05 18:00:00+00:00,1779.47,1786.23,1777.8,1781.28,4040.3175
2026-07-05 19:00:00+00:00,1781.28,1784.52,1777.7,1781.43,2877.4016
2026-07-05 20:00:00+00:00,1781.44,1783.53,1776.26,1777.1,1915.6405
2026-07-05 21:00:00+00:00,1777.1,1793.25,1769.29,1786.88,10803.2629
2026-07-05 22:00:00+00:00,1786.91,1808.0,1784.34,1790.0,19757.5895
2026-07-05 23:00:00+00:00,1789.99,1802.75,1782.75,1785.65,9299.3158
2026-07-06 00:00:00+00:00,1785.65,1794.13,1774.35,1793.28,10212.8482
2026-07-06 01:00:00+00:00,1793.27,1799.02,1785.4,1786.31,5674.4473
2026-07-06 02:00:00+00:00,1786.31,1790.28,1779.26,1783.71,6310.4752
2026-07-06 03:00:00+00:00,1783.71,1784.99,1772.22,1779.71,6649.5881
